ignoreplayernumber ,player_name,ignoreheight,ignoreweight,college,born,birth_city,birth_state,weight,height
3686,Sim Bhullar,226,163,New Mexico State University,1992,Ontario,Canada,359,7.4
2403,Thomas Hamilton,218,149,University of Pittsburgh,1975,Chicago,Illinois,328,7.2
2482,Priest Lauderdale,224,147,Central State University,1973,Chicago,Illinois,324,7.3
2222,Shaquille O'Neal*,216,147,Louisiana State University,1972,Newark,New Jersey,324,7.1
2732,Garth Joseph,218,142,College of Saint Rose,1973,Roseau,Dominica,313,7.2
2878,Yao Ming*,229,140,,1980,Shanghai,China,309,7.5
3432,Nikola Pekovic,211,139,,1986,Bijelo Polje,Montenegro,306,6.9
3433,Dexter Pittman,211,139,University of Texas at Austin,1988,Rosenberg,Texas,306,6.9
3023,Ha Seung-Jin,221,138,,1985,Seoul,Republic of Korea,304,7.3
3440,Garret Siler,211,138,Augusta State University,1986,Augusta,Georgia,304,6.9
2297,Gheorghe Muresan,231,137,,1971,Triteni,Romania,302,7.6
2606,Jerome James,213,136,Florida Agricultural and Mechanical University,1975,Tampa,Florida,300,7
2800,DeSagana Diop,213,136,,1982,Dakar,Senegal,300,7
2798,Eddy Curry,213,133,,1982,Harvey,Illinois,293,7
3796,Boban Marjanovic,221,131,,1988,Zajecar,Serbia,289,7.3
2781,Mengke Bateer,211,131,,1975,Beijing,China,289,6.9
3005,Al Jefferson,208,131,,1985,Monticello,Mississippi,289,6.8
2643,Jahidi White,206,131,Georgetown University,1976,St. Louis,Missouri,289,6.8
3199,James White,206,131,Georgetown University,1976,St. Louis,Missouri,289,6.8
3217,Glen Davis,206,131,Louisiana State University,1986,Baton Rouge,Louisiana,289,6.8
3222,Kyrylo Fesenko,216,130,,1986,Dnepropetrovsk,Ukraine,287,7.1
2770,Jake Tsakalidis,218,129,,1979,Rustavi,Georgia,284,7.2
2167,Stanley Roberts,213,129,Louisiana State University,1970,Hopkins,South Carolina,284,7
3052,Andrew Bynum,213,129,,1987,Plainsboro,New Jersey,284,7
2484,Horacio Llamas,211,129,Grand Canyon University,1973,El Rosario,Mexico,284,6.9
3166,James Lang,208,129,,1983,Mobile,Alabama,284,6.8
3438,Kevin Seraphin,206,129,,1989,Cayenne,French Guiana,284,6.8
2640,Robert Traylor,203,128,University of Michigan,1977,Detroit,Michigan,282,6.7
2423,Greg Ostertag,218,127,University of Kansas,1973,Dallas,Texas,280,7.2
3155,Andreas Glyniadakis,216,127,,1981,Hania,Greece,280,7.1
2685,Todd MacCulloch,213,127,University of Washington,1976,Winnipeg,Canada,280,7
2999,David Harrison,213,127,University of Colorado,1982,Nashville,Tennessee,280,7
3738,Jusuf Nurkic,213,127,,1994,Tuzla,Bosnia and Herzegovina,280,7
1299,Geoff Crompton,211,127,University of North Carolina,1955,Burlington,North Carolina,280,6.9
2975,Rafael Araujo,211,127,Brigham Young University,1980,Curitiba,Brazil,280,6.9
2497,Vitaly Potapenko,208,127,Wright State University,1975,Kiev,Ukraine,280,6.8
3295,Nathan Jawai,208,127,Midland College,1986,Sydney,Australia,280,6.8
2216,Oliver Miller,206,127,University of Arkansas,1970,Fort Worth,Texas,280,6.8
2432,Arvydas Sabonis*,221,126,,1964,Kaunas,Lithuania,278,7.3
3545,Andre Drummond,211,126,University of Connecticut,1993,Mount Vernon,New York,278,6.9
2682,Lari Ketner,206,125,University of Massachusetts Amherst,1977,Philadelphia,Pennsylvania,276,6.8
2969,Slavko Vranes,226,124,,1983,Belgrade,Serbia,273,7.4
1540,Mark Eaton,224,124,"University of California, Los Angeles",1957,Westminster,California,273,7.3
1405,James Donaldson,218,124,Washington State University,1957,Heacham,United Kingdom,273,7.2
494,Wilt Chamberlain*,216,124,University of Kansas,1936,Philadelphia,Pennsylvania,273,7.1
3427,Timofey Mozgov,216,124,,1986,St. Petersburg,Russia,273,7.1
1782,Kevin Duckworth,213,124,Eastern Illinois University,1964,Harvey,Illinois,273,7
2426,Bryant Reeves,213,124,Oklahoma State University,1973,Fort Smith,Arkansas,273,7
2646,Trevor Winter,213,124,University of Minnesota,1974,Slayton,Minnesota,273,7
2993,John Edwards,213,124,Kent State University,1981,Warren,Ohio,273,7
3302,Brook Lopez,213,124,Stanford University,1988,North Hollywood,California,273,7
