ignoreid,player_name,year,age,team,games_played,average_minutes,field_goal_percentage,three_point_percentage,free_throw_percentage,average_points,average_assists,average_rebounds,average_steals,average_blocks,average_turnover,average_personal_foul
24606,Edy Tavares,2017,24,CLE,1,24,0.75,,0,6,1,10,0,6,2,3
7638,Mark Eaton,1985,28,UTA,82,34.3,0.449,,0.712,9.68,1.5,11.3,0.4,5.6,2.5,3.8
17025,Rasheed Wallace,2004,29,ATL,1,42,0.333,0.167,1,20,2,6,1,5,3,0
7944,Manute Bol,1986,23,WSB,80,26.1,0.46,0,0.488,3.73,0.3,6,0.4,5,0.8,3.2
4047,Elmore Smith,1974,24,LAL,81,36.1,0.457,,0.59,12.53,1.9,11.2,0.9,4.9,0,3.8
8012,Mark Eaton,1986,29,UTA,80,31.9,0.47,,0.604,8.45,1.3,8.4,0.4,4.6,2,3.5
9840,Hakeem Olajuwon*,1990,27,HOU,82,38.1,0.501,0.167,0.713,24.33,2.9,14,2.1,4.6,3.9,3.8
12625,Dikembe Mutombo*,1996,29,DEN,74,36.7,0.499,0,0.695,11,1.5,11.8,0.5,4.5,2,3.5
10798,David Robinson*,1992,26,SAS,68,37.7,0.551,0.125,0.701,23.21,2.7,12.2,2.3,4.5,2.7,3.2
16926,Theo Ratliff,2004,30,POR,32,31.8,0.54,,0.629,7.31,0.6,7.3,0.8,4.4,1.1,3.5
10749,Hakeem Olajuwon*,1992,29,HOU,70,37.7,0.502,0,0.766,21.57,2.2,12.1,1.8,4.3,2.7,3.8
9143,Manute Bol,1989,26,GSW,80,22.1,0.369,0.22,0.606,3.93,0.3,5.8,0.1,4.3,1,2.8
7115,Tree Rollins,1983,27,ATL,80,30.9,0.51,0,0.726,7.75,0.9,9.3,0.6,4.3,1.2,3.7
7288,Mark Eaton,1984,27,UTA,82,26.1,0.466,0,0.593,5.62,1.4,7.3,0.3,4.3,1.2,3.7
11195,Hakeem Olajuwon*,1993,30,HOU,82,39.5,0.529,0,0.779,26.1,3.5,13,1.8,4.2,3.2,3.7
4375,Kareem Abdul-Jabbar*,1976,28,LAL,82,41.2,0.529,,0.703,27.74,5,16.9,1.5,4.1,0,3.6
11677,Dikembe Mutombo*,1994,27,DEN,82,34.8,0.569,0,0.583,12.02,1.5,11.8,0.7,4.1,2.5,3.2
8391,Mark Eaton,1987,30,UTA,79,31.7,0.4,,0.657,7.7,1.3,8.8,0.5,4.1,1.8,3.5
